PROVIDER ID NUMBER,PRIMARY OPERATIONAL AREA,ZIP CODE,Comp_Fact1,Comp_Fact2,Comp_Fact3,Comp_Fact4,Comp_Fact5,SH_Fact6,SH_Fact7,SH_Fact8,SH_Fact9,Qlty_Fact10,Qlty_Fact11,Qlty_Fact12,Qlty_Fact13,Reputation
149097,182 WYOMING,14215,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,LowReputation
149098,18 ST JOHNS PL,14201,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149112,1320 BROADWAY,14212,HardwareInCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149119,475 ELLICOTT,14203,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149122,1201 HERTEL,14216,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149129,237 ONTARIO,14207,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,VeryGoodReputation
149132,333 PENNSYLVANIA,14201,HardwareInCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,DeadLocks,Autonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149134,44 LARK,14211,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149136,267 ROSLYN,14215,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149155,88 CARL,14215,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149161,57 NOTTINGHAM,14216,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149185,537 DELAVAN EAST,14211,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,DefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149186,52 HAWLEY,14213,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149188,89 HEWITT,14215,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149191,846 MAIN,14202,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149195,471 FERRY EAST,14208,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149196,97 DOMEDION AVE,14211,HardwareInCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149203,492 GRANT,14213,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,DefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149218,1 SENECA,14203,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149220,22 ASHLEY,14212,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149222,40 SEYMOUR,14210,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,DefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149223,334 SANDERS,14216,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149224,146 HINMAN,14216,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149225,495 CONNECTICUT,14213,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149226,136 GOETHE,14206,HardwareInCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149230,515 SEVENTH,14201,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
